Months,BRF Price Change,Gas 95 Price
2018/08/1,-0.20,0.00
2018/09/3,1.00,0.70
2018/10/1,0.43,0.00
2018/11/1,-2.72,-2.60
2018/12/3,-1.74,-2.40
2019/01/2,0.40,1.90
2019/02/11,1.01,-0.10
2019/03/4,0.39,1.00
2019/04/1,0.92,1.21
2019/05/2,-0.04,0.29
2019/06/3,-1.48,-1.60
2019/07/1,0.21,0.00
2019/08/1,-0.75,-0.60
2019/09/2,0.41,0.50
2019/10/1,-0.75,-0.70
2019/11/1,0.47,0.50
2019/12/2,0.42,0.80
2020/01/2,-0.08,-0.90
2020/02/3,-1.66,-1.30
2020/03/2,-4.01,-7.30
2020/04/1,-1.48,-2.10
2020/05/4,0.94,3.50
2020/06/1,1.48,2.40
2020/07/1,0.43,0.30
2020/08/3,0.31,0.20